City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Agadir,MA,2022-11-28 18:25:32,30.4202,-9.5982,66.65,63,0,4.36
68,Rikitea,PF,2022-11-28 18:25:32,-23.1203,-134.9692,73.89,79,19,7.05
69,Yellowknife,CA,2022-11-28 18:24:00,62.456,-114.3525,-10.44,77,75,9.22
70,Dauriya,RU,2022-11-28 18:25:33,49.9333,116.8667,-7.13,87,100,18.99
71,Lufilufi,WS,2022-11-28 18:25:33,-13.8745,-171.5986,73.18,72,16,14.45
72,New Norfolk,AU,2022-11-28 18:25:34,-42.7826,147.0587,44.92,69,41,1.99
73,Kapaa,US,2022-11-28 18:25:34,22.0752,-159.319,73.38,98,75,5.75
74,Severo-Kurilsk,RU,2022-11-28 18:25:34,50.6789,156.125,30.65,70,88,27.92
75,Lebu,CL,2022-11-28 18:25:35,-37.6167,-73.65,63.75,70,17,13.18
76,Roma,US,2022-11-28 18:21:22,43.2128,-75.4557,39.51,83,100,12.66
77,Aguimes,ES,2022-11-28 18:25:35,27.9054,-15.4461,68.67,73,20,19.57
78,Busselton,AU,2022-11-28 18:25:36,-33.65,115.3333,59.09,70,0,12.84
79,College,US,2022-11-28 18:25:36,64.8569,-147.8028,-2.25,71,20,4.61
80,Provideniya,RU,2022-11-28 18:25:37,64.3833,-173.3,17.55,90,100,11.27
81,La Ronge,CA,2022-11-28 18:25:37,55.1001,-105.2842,17.85,79,100,14.97
82,Saskylakh,RU,2022-11-28 18:25:37,71.9167,114.0833,-16.85,95,100,4.47
83,Nikolskoye,RU,2022-11-28 18:25:38,59.7035,30.7861,26.8,96,80,5.28
84,Ilulissat,GL,2022-11-28 18:25:39,69.2167,-51.1,19.42,53,40,2.3
85,Kavieng,PG,2022-11-28 18:25:39,-2.5744,150.7967,82.2,65,25,4.18
86,Arraial Do Cabo,BR,2022-11-28 18:25:39,-22.9661,-42.0278,75.16,94,75,18.41
87,Sechura,PE,2022-11-28 18:25:40,-5.5569,-80.8222,78.12,58,73,13.73
88,Kyaikto,MM,2022-11-28 18:25:40,17.3,97.0167,77.27,84,5,2.28
89,East London,ZA,2022-11-28 18:25:40,-33.0153,27.9116,68.94,73,20,14.97
90,Iqaluit,CA,2022-11-28 18:25:41,63.7506,-68.5145,-2.47,83,100,42.57
91,Kwinana,AU,2022-11-28 18:26:41,-32.25,115.7667,71.19,44,0,15.05
92,Sale,MA,2022-11-28 18:21:52,34.0389,-6.8166,61.75,67,40,9.22
93,Port Hardy,CA,2022-11-28 18:25:07,50.6996,-127.4199,33.98,93,40,5.75
94,Port Hedland,AU,2022-11-28 18:26:42,-20.3167,118.5667,77.05,94,1,5.75
95,Hamilton,US,2022-11-28 18:26:42,39.1834,-84.5333,46.89,86,100,6.91
96,Les Cayes,HT,2022-11-28 18:26:43,18.2,-73.75,83.95,65,48,6.4
97,Magadan,RU,2022-11-28 18:24:59,59.5667,150.8,12.78,78,100,15.55
98,Salvador,SV,2022-11-28 18:26:43,13.8333,-88.9167,81.05,68,100,1.39
99,Castro,BR,2022-11-28 18:26:43,-24.7911,-50.0119,63.81,87,98,10.87
100,Gannan,CN,2022-11-28 18:26:44,47.9147,123.5031,7.86,94,100,9.84
101,Tasiilaq,GL,2022-11-28 18:26:44,65.6145,-37.6368,23.16,59,19,6.51
102,Hanchuan,CN,2022-11-28 18:26:45,30.65,113.7667,50.11,65,100,16.55
103,Champerico,GT,2022-11-28 18:26:45,14.3,-91.9167,82.96,73,97,2.33
104,Pangody,RU,2022-11-28 18:26:45,65.85,74.4859,2.25,95,100,7.27
105,Chokurdakh,RU,2022-11-28 18:26:46,70.6333,147.9167,-34.96,100,100,2.1
106,Leningradskiy,RU,2022-11-28 18:26:47,69.3833,178.4167,-4.68,88,72,3.58
107,Kaitangata,NZ,2022-11-28 18:26:47,-46.2817,169.8464,51.76,87,96,1.07
108,Zacatecoluca,SV,2022-11-28 18:26:48,13.5,-88.8667,86.23,68,100,2.04
109,Fortuna,US,2022-11-28 18:26:48,40.5982,-124.1573,50.34,96,100,0.0
110,Nauta,PE,2022-11-28 18:26:49,-4.5061,-73.5757,85.77,62,100,1.3
111,Urengoy,RU,2022-11-28 18:26:49,65.9667,78.3667,-2.74,94,92,7.27
112,Georgetown,MY,2022-11-28 18:26:49,5.4112,100.3354,81.23,87,20,0.0
113,Ugoofaaru,MV,2022-11-28 18:26:50,5.6667,73.0,80.94,71,55,1.61
114,Myitkyina,MM,2022-11-28 18:26:50,25.3833,97.4,61.47,73,0,2.53
115,Faanui,PF,2022-11-28 18:26:50,-16.4833,-151.75,78.76,73,44,12.35
116,Wilmington,US,2022-11-28 18:24:55,34.2257,-77.9447,70.95,54,0,16.11
117,Thompson,CA,2022-11-28 18:26:37,55.7435,-97.8558,19.56,86,100,13.8
118,Qaanaaq,GL,2022-11-28 18:26:51,77.484,-69.3632,-8.82,87,88,5.39
119,Vila Franca Do Campo,PT,2022-11-28 18:26:51,37.7167,-25.4333,70.2,90,100,18.75
120,Acapulco,MX,2022-11-28 18:25:50,16.8634,-99.8901,84.02,70,0,9.22
121,Chapais,CA,2022-11-28 18:26:51,49.7834,-74.8492,19.18,84,92,9.55
122,Keningau,MY,2022-11-28 18:26:52,5.3378,116.1602,71.08,99,19,1.57
123,Voznesenye,RU,2022-11-28 18:26:52,61.0106,35.4781,21.81,84,100,7.92
124,Algiers,DZ,2022-11-28 18:24:34,36.7525,3.042,60.62,51,40,23.02
125,Angoche,MZ,2022-11-28 18:26:52,-16.2325,39.9086,79.95,80,67,16.96
126,Diffa,NE,2022-11-28 18:26:53,13.3154,12.6113,74.46,18,19,8.41
